gcr.io/google-containers/hyperkube-s390x v1.7.7-beta.0 {'date': '20170914', 'ok': True, 'digest': u'sha256:18792ae307b732b932010cc2098d663aca0681adc496c837b0111b42ba7f9a9f', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.8.8-beta.0 {'date': '20180117', 'ok': True, 'err': 'None', 'digest': u'sha256:d0213d6c59aee0905ce35882efa9dfe97e68327f6a55aeb2229b172e157ee744'}
gcr.io/google-containers/hyperkube-s390x v1.10.0-alpha.0 {'date': '20171117', 'ok': True, 'err': 'None', 'digest': u'sha256:9198c81b80047c1e04b2f77ab8a506bb54c5d7c07a356d13ce3112e2c0712b37'}
gcr.io/google-containers/hyperkube-s390x v1.10.0-alpha.1 {'date': '20171219', 'ok': True, 'digest': u'sha256:fae6c67224e2e649fb64f8b2510a4782c3030de519ae045a7a21d376a259d071', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.10.0-alpha.2 {'date': '20180127', 'ok': True, 'err': 'None', 'digest': u'sha256:07dc250923165869b15ec97914cc059fbdadbf324ba7a7e192e99c069829f0a8'}
gcr.io/google-containers/hyperkube-s390x v1.10.0-alpha.3 {'date': '20180202', 'ok': True, 'digest': u'sha256:35e38a90340ffff336598d7618d4c67a533855d10733d59332f00edcf117a31b', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.11.5-beta.0 {'date': '20181026', 'ok': True, 'digest': u'sha256:84d20b6e7cabb59669506f5a30e0fb89722b96aa150f488039429dc04bcb11e3', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.10.9 {'date': '20181016', 'ok': True, 'err': 'None', 'digest': u'sha256:b379b7a4e10ee08f078cf17453bebbd64afff87c1397ec1ad8bc157a08fb73f9'}
gcr.io/google-containers/hyperkube-s390x v1.10.8 {'date': '20180915', 'ok': True, 'err': 'None', 'digest': u'sha256:18e1b8faf0ce9c2e4c58bb2cfa39ad861ceba8beb17623a16f5fe20f970fd4d2'}
gcr.io/google-containers/hyperkube-s390x v1.7.15-beta.0 {'date': '20180313', 'ok': True, 'digest': u'sha256:18f732016b69492629dc277cde52e74416de698214920f95c57c5ecbdc46a2d3', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.10.1 {'date': '20180413', 'ok': True, 'err': 'None', 'digest': u'sha256:9bc7276b40cd53809eb577c2a59bbd2d3d1551fea92cbcf8711468a00ff78522'}
gcr.io/google-containers/hyperkube-s390x v1.10.0 {'date': '20180327', 'ok': True, 'err': 'None', 'digest': u'sha256:d94f50525e0e9dbf6403b50b82cd15ee8228ee336efa6e795f029addc17bf4d1'}
gcr.io/google-containers/hyperkube-s390x v1.10.3 {'date': '20180521', 'ok': True, 'err': 'None', 'digest': u'sha256:7b29895378cdf1fdb2f7ed4731814bc7bd9be8fa17848ab8ed1e837cc0d959bc'}
gcr.io/google-containers/hyperkube-s390x v1.10.2 {'date': '20180427', 'ok': True, 'digest': u'sha256:4795ddf9bcd504acba23399f1ea2ded5e5c46f11a792ac5776e9f48514209d02', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.10.5 {'date': '20180621', 'ok': True, 'err': 'None', 'digest': u'sha256:705a4822eb6f13b6b0d7cd22cf4e441160e25f59a09050cda5aada07f58c4fe3'}
gcr.io/google-containers/hyperkube-s390x v1.10.4 {'date': '20180606', 'ok': True, 'digest': u'sha256:5ca13475e2ce86a4af6ef287dfd9a2cca0b4abb61f1b365414e95318480f8541', 'err': 'None'}
